id,name,type,gender,date_of_joining,date_of_leave,dob,salary,phone,passwd_hash,address,slot_name
1,Xantha James,doctor,female,2017-02-09,NULL,1983-12-17,50000,+917907220718,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","3593 Vestibulum Av.,Silvassa,India",general
2,Kelsie Mercado,doctor,male,2020-11-02,NULL,1979-12-15,50000,+911651513496,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","3144 Arcu Road,Shillong,India",general
3,Simone Frank,doctor,female,2018-03-01,NULL,1979-07-31,50000,+915379476779,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #270-7376 Penatibus Road,Nagarcoil,India",general
4,Clio Giles,doctor,male,2020-09-28,NULL,1975-11-28,50000,+910203993594,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 460, 6992 Cursus Street,Ramagundam,India",general
5,Denise Mccarty,doctor,female,2017-09-20,NULL,1978-04-13,50000,+919598634119,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 622, 724 Sed St.,Kavaratti,India",night
6,Destiny Bernard,doctor,female,2016-06-14,NULL,1982-11-21,50000,+919294198179,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 864, 9128 Nonummy Ave,Raurkela Civil Township,India",night
7,Chiquita Ortiz,doctor,female,2016-10-15,NULL,1988-07-21,50000,+916631808783,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","187-6032 Lobortis Road,Panjim,India",night
8,Ulla Arnold,doctor,male,2017-05-29,NULL,1993-05-11,50000,+916430393661,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","P.O. Box 311, 2187 Integer Road,Sambhal,India",night
9,Calista Delacruz,doctor,male,2019-06-16,NULL,1979-03-16,50000,+910734622419,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","Ap #144-2662 Duis St.,Itanagar,India",night
10,Mary Jenkins,doctor,female,2017-04-14,NULL,1987-04-16,50000,+918274301376,"$2b$10$pd2xCxkm61Nn65GFybGtueDCqHG2jSTUGVOHboO5KUdK.5IEDpAo6","444-632 Ac Road,Port Blair,India",general
